"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","310","Create File with empty directory","tests.test_files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","18","Update Exercise","tests.test_exercise","2026-06-16","passed","2026-06-16","TestExercises","test_exercise","",""
"","301","Create File with empty filename","tests.test_files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","315","Get File","tests.test_files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","298","Get File with incorrect file id","tests.test_files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","23","Create Exercise","tests.test_exercise","2026-06-16","passed","2026-06-16","TestExercises","test_exercise","",""
"","630","Create user","LMS service","2026-06-16","passed","2026-06-16","Create entity","Users","",""
"","614","Create user","LMS service","2026-06-16","passed","2026-06-16","Create entity","Users","",""
"","625","Create user","LMS service","2026-06-16","passed","2026-06-16","Create entity","Users","",""
"","325","Delete Exercise","tests.test_exercise","2026-06-16","passed","2026-06-16","TestExercises","test_exercise","",""
"","19","Update Course","tests.test_courses","2026-06-16","passed","2026-06-16","TestCourses","test_courses","",""
"","315","Delete File","tests.test_files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
"","14","Get Exercise","tests.test_exercise","2026-06-16","passed","2026-06-16","TestExercises","test_exercise","",""
"","613","Login user","tests.test_authentication","2026-06-16","passed","2026-06-16","TestAuthentication","test_authentication","",""
"","18","Get Exercises","tests.test_exercise","2026-06-16","passed","2026-06-16","TestExercises","test_exercise","",""
"","8","Get user me","LMS service","2026-06-16","passed","2026-06-16","TestUsersMe","Users","",""
"","346","Delete Courses","tests.test_courses","2026-06-16","passed","2026-06-16","TestCourses","test_courses","",""
"","315","Get Courses","tests.test_courses","2026-06-16","passed","2026-06-16","TestCourses","test_courses","",""
"","16","Create File","tests.test_files","2026-06-16","passed","2026-06-16","TestFiles","test_files","",""
